air_date,round,category,value,question,answer
2/14/07,Final Jeopardy!,ORGANIZATIONS,,"The emblem seen <a href=""http://www.j-archive.com/media/2007-02-14_FJ.jpg"" target=""_blank"">here</a> is now used in countries where this organization's original emblem was controversial",the (International) Red Cross
12/24/09,Final Jeopardy!,SPORTSWOMEN,,"Referring to a 1999 incident, her autobiography is titled ""It's Not About the Bra""",Brandi Chastain
4/25/11,Final Jeopardy!,BRITISH LANDMARKS,,"Completed in 1858, it was to be named St. Stephen, but was nicknamed this, honoring the chief commissioner of the works",Big Ben
1/13/04,Final Jeopardy!,DEADLY FIRSTS,,"The first man to die as the result of one of these accidents was Lt. Thomas Selfridge on Sept. 17, 1908",an airplane crash
9/30/08,Final Jeopardy!,PENINSULAR NATIONS,,It's the largest country in the world without any permanent natural rivers or lakes,Saudi Arabia
1/26/09,Final Jeopardy!,19th CENTURY POETS,,"He wrote, ""The mason singing... the boatman... the hatter... singing what belongs to him or her and to none else""",Walt Whitman
6/24/11,Final Jeopardy!,WORLD CAPITALS,,"Built about 50 years ago, it's the only world capital to start with the letter ""I""",Islamabad
1/3/00,Final Jeopardy!,FROM PLAY TO BALLET,,"This character became the heroine of the dramatic ballet ""The Moor's Pavane""",Desdemona
11/26/99,Final Jeopardy!,HIGHWAYS & BYWAYS,,2 of the 4 20th century U.S. presidents after whom streets in Paris are named,"Eisenhower, Kennedy, Franklin Roosevelt &/or Wilson"
3/9/07,Final Jeopardy!,WORLD WAR II,,Rhyming names of the 2 places where FDR & Winston Churchill met up in February 1945,Malta & Yalta
9/6/00,Final Jeopardy!,XYZ AFFAIR,,"As part of the U.S. Treaty Negotiation Team, this future VP under Madison knew where to ""draw the lines""",Elbridge Gerry
5/5/04,Final Jeopardy!,CLASSIC MOVIES,,A 35-foot-long muslin stocking was used to create the cyclone for this 1939 film,The Wizard of Oz
9/6/96,Final Jeopardy!,CANADA,,The flag & the coat of arms of this Canadian province feature a setting sun,British Columbia
10/12/01,Final Jeopardy!,THE VOCAL ARTS,,"Alessandro Moreschi, who died in 1922, was the last renowned member of this operatic category of voice",the Castrati
6/2/09,Final Jeopardy!,GEOGRAPHICAL LITERATURE,,"The first 2 sections of this Hemingway novel, published 9 years after his death, are titled ""Bimini"" & ""Cuba""",Islands in the Stream
12/2/93,Final Jeopardy!,WORLD CAPITALS,,The capital of Albania is named for this other world capital,"Teheran, Iran"
12/10/01,Final Jeopardy!,THE OSCARS,,One of 4 men nominated twice for playing the same character,"(1 of 4) Bing Crosby, Paul Newman, Al Pacino or Peter O'Toole"
2/22/08,Final Jeopardy!,U.S. GOVERNMENT HISTORY,,This man cast the first tie-breaking vote in U.S. Senate history,John Adams
9/5/89,Final Jeopardy!,WORLD LEADERS,,This famous man was the grandfather of the current prime minister of India,Jawaharlal Nehru
11/20/97,Final Jeopardy!,ART,,"The Italian name of this 15th century masterpiece is ""L'Ultima Cena""","\""The Last Supper\"""
5/20/92,Final Jeopardy!,TRAVEL & TOURISM,,"This sparsely populated state has the highest percentage of its workforce in tourism, about a third",Nevada
9/15/97,Final Jeopardy!,COMPOSERS,,Composer whose works inspired stage hits by David Henry Hwang & Jonathan Larson,Giacomo Puccini
12/12/06,Final Jeopardy!,CHIEF JUSTICES,,"He wrote that if a person in custody ""cannot afford an attorney, one will be appointed for him... if he so desires""",Earl Warren
4/11/00,Final Jeopardy!,NURSERY RHYME CHARACTERS,,This nursery rhyme character's name goes back to the Jacobites' satiric nickname for the Prince of Orange,Wee Willie Winkie
12/31/10,Final Jeopardy!,POLITICAL TERMS,,"A 1912 speech said the Bull Moose Party ""comes from"" these; ""it has grown from the soil of...people's hard necessities""",grass roots
4/8/05,Final Jeopardy!,CHILDREN'S LITERATURE,,Dr. Seuss wrote this book to win a bet that he couldn't write a book using only 50 different words,Green Eggs and Ham
1/13/10,Final Jeopardy!,RECORD OF THE YEAR GRAMMY WINNERS,,This song's recording session occurred right after the 1985 American Music Awards & lasted all night long,We Are the World
10/25/00,Final Jeopardy!,RECENT FILMS,,"This movie was dedicated to the 10,000 Gloucester fishermen who have lost their lives since 1623",The Perfect Storm
3/5/10,Final Jeopardy!,PLAYS,,"Dialogue from this play: ""He didn't say for sure he'd come.""  ""And if he doesn't come?""  ""We'll come back tomorrow""",Waiting for Godot
10/24/00,Final Jeopardy!,FAMOUS FIRSTS,,"The world's first one of these opened in 1925; it was in San Luis Obispo, CA. & had parking in front of each door",Motel
1/5/01,Final Jeopardy!,LIFE SCIENCE,,"A study done in South Africa put these non-primates above chimpanzees, making them the world's second-smartest species",Dolphins
10/8/09,Final Jeopardy!,ASTRONOMY,,"Sir William Herschel coined this word in 1802 writing, ""They resemble small stars so much...""",asteroid
6/15/99,Final Jeopardy!,INTERNET BUSINESS,,"A hot stock in 1999, this internet site began as a place to buy & sell Pez dispensers",eBay
9/12/84,Final Jeopardy!,LANGUAGE,,It is the 2nd most spoken language in the world,English
1/14/05,Final Jeopardy!,U.S. PRESIDENTS,,They're the 2 men who served the U.S. as President representing the Union Party,Abraham Lincoln & Andrew Johnson
1/27/98,Final Jeopardy!,MAN IN SPACE,,Mission that put the third man on the moon,Apollo 12
3/6/07,Final Jeopardy!,ISLANDS,,"Part of the 4th-most populous country, it's the world's most populous single island with about 120 million people",Java
1/20/97,Final Jeopardy!,AWARDS,,The London Theatre's equivalent of Broadway's Tony Awards are named for him,Sir Laurence Olivier
3/15/11,Final Jeopardy!,SPORTS & MUSIC,,In July 2010 this Rock & Roll Hall of Famer performed at the Baseball H.O.F. induction ceremonies,John Fogerty
10/10/00,Final Jeopardy!,MUSICALS,,"This musical inspired by an opera features the songs ""The Gods Love Nubia"" & ""Another Pyramid""","\""Aida\"""
2/14/03,Final Jeopardy!,FAMOUS AMERICANS,,James Fenimore Cooper based the character of Natty Bumppo on this man who was born in 1734,Daniel Boone
12/20/11,Final Jeopardy!,POETS,,"While north of his homeland he was inspired to write perhaps his greatest work, ""Alturas de Macchu Picchu""",Pablo Neruda
11/23/94,Final Jeopardy!,DEMOCRATS,,"When Grandma Moses was born, this man was president; at her death, JFK was president",James Buchanan
6/9/99,Final Jeopardy!,TELEVISION,,"In a 1983 movie about a kidnapping, Daniel J. Travanti played the man who would later host this series",America's Most Wanted (hosted by John Walsh)
10/16/97,Final Jeopardy!,FAMOUS PAIRS,,"A new Ford V-8, stolen by this pair in Topeka on April 29, 1934, became world famous a few weeks later",Bonnie (Parker) & Clyde (Barrow)
9/12/06,Final Jeopardy!,AMERICANA,,"In June 2005, amid some controversy, a statue of Elizabeth Montgomery was unveiled in this city","Salem, Massachusetts"
5/12/10,Final Jeopardy!,18th CENTURY SCOTSMEN,,A relative of this inventor described him as a boy staring at the tea kettle for an hour watching it boil,James Watt
6/23/10,Final Jeopardy!,HISTORIC DATES,,"The signing of the Treaty of Versailles on June 28, 1919 took place exactly 5 years after the related death of this man",Archduke Franz Ferdinand
5/12/00,Final Jeopardy!,WORLD LANDMARKS,,"In the 1920s this nation's churches pooled their money & erected a 120-foot religious monument on a 2,300-foot peak",Brazil
9/22/05,Final Jeopardy!,FAMOUS PAINTINGS,,It was originally painted as the centerpiece for the Spanish Government Pavillion at the 1937 Paris World's Fair,Guernica (by Pablo Picasso)
5/20/05,Final Jeopardy!,HISTORIC OBJECTS,,"Given to Washington by Lafayette, one of the keys to this is on display at Mount Vernon",the Bastille
12/22/04,Final Jeopardy!,19th CENTURY SPEECHES,,"At Harvard, this writer proposed that we work 1 day & leave 6 free for the ""sublime revelations of nature""",Henry David Thoreau
1/22/04,Final Jeopardy!,TECHNOLOGY FIRSTS,,In 1923 the Zeiss unit seen here was placed under a dome to create the first modern one of these,a planetarium
1/16/97,Final Jeopardy!,FOREIGN FILMS,,"With 6, this 1981 German film holds the record for most Oscar nominations for a foreign-language film","\""Das Boot\"" (\""The Boat\"")"
5/14/90,Final Jeopardy!,THE BIBLE,,"Of the men mentioned in the King James Version, he's first alphabetically",Aaron (Moses' brother)
2/2/09,Final Jeopardy!,STATE CAPITALS,,It's the only state capital that bears the name of a U.S. vice president,Jefferson City
12/3/98,Final Jeopardy!,HOLIDAYS,,"It's observed on March 7 in California, March 26 in Spain & April 22 in Nebraska",Arbor Day
12/8/10,Final Jeopardy!,WORLD HISTORY,,"After the Royal Family fled to this country in 1807, it became the only one in South America from which a European country was ruled",Brazil
1/12/04,Final Jeopardy!,AMERICAN WRITERS,,In 1936 the San Francisco News sent this man to investigate living conditions among migrant workers,John Steinbeck
12/9/10,Final Jeopardy!,STATE CAPITALS,,"Forget Me Not, Glacier Avenue & Glacier Highway are streets in this state capital",Juneau
2/12/99,Final Jeopardy!,LITERATURE,,In 1998 Jose Saramago became the first writer in this language to win a Nobel Prize for Literature,Portuguese
1/18/11,Final Jeopardy!,STATE NAMES,,These are the 2 U.S. states with only one consonant in their names,Iowa & Ohio
5/3/04,Final Jeopardy!,THE WESTERN U.S.,,2 popular places for swimming in this national park are in Firehole Canyon & at Boiling River,Yellowstone
3/4/05,Final Jeopardy!,U.S. ISLANDS,,"Dutch for either ""devil's whirlpool"" or ""spite the devil"", Spuyten Duyvil Creek forms part of its northern border",Manhattan
7/19/05,Final Jeopardy!,WORDS IN LITERATURE,,"In Webster's, it means either a soldier using a certain muzzle-loading weapon, or a boon companion",musketeer
9/5/96,Final Jeopardy!,TELEVISION HISTORY,,"On 1/19/96 in real life & fictionally on CBS, Marlee Matlin gave birth, duplicating this woman's 1/19/53 feat",Lucille Ball
11/29/94,Final Jeopardy!,PLAYS,,The title of a Sean O'Casey play refers to these symbols on the flag of the Irish Citizen Army,The Plough and the Stars
4/6/10,Final Jeopardy!,THE ANIMAL KINGDOM,,"The coelacanth & the ivory-billed woodpecker are sometimes referred to as this biblical man ""species""",Lazarus
9/18/08,Final Jeopardy!,PLAYS,,"In a 16th century work, the feud between these 2 groups is described as an ""ancient grudge""",the Capulets & the Montagues
7/14/99,Final Jeopardy!,STATE GOVERNMENT,,"With only 49, this state's government has the fewest legislators",Nebraska
12/6/07,Final Jeopardy!,NOTABLE WOMEN,,"In 1963 she said, ""I feel as though I'm suddenly on stage for a part I never rehearsed""",Lady Bird Johnson
7/29/11,Final Jeopardy!,LOS ANGELES LANDMARKS,,"A James Dean memorial can be found adjacent to this structure, located at one of the high spots in Los Angeles",the Griffith Observatory
3/9/06,Final Jeopardy!,ISLANDS,,"Despite landmines dating from 1982, penguins use these islands for mating grounds, being too light to set them off",the Falkland Islands
11/18/04,Final Jeopardy!,AMERICAN NOVELS,,"The image seen <a href=""http://www.j-archive.com/media/2004-11-18_FJ.jpg"" target=""_blank"">here</a> is part of Faulkner's original text of this 1930 novel",As I Lay Dying
4/24/87,Final Jeopardy!,LONDON,,"Borough in which Henry VIII was born, they say you can stand in 2 different hemispheres there",Greenwich
2/14/08,Final Jeopardy!,AFRICAN AMERICANS,,"As U.S. Solicitor General in the 1960s, he won 14 of the 19 cases he argued before the Supreme Court",Thurgood Marshall
9/7/00,Final Jeopardy!,'50s POP HITS,,"A No. 1 hit in 1959, this song was originally written by a teacher as a history lesson for his students on the War of 1812","\""The Battle Of New Orleans\"""
4/24/90,Final Jeopardy!,PLAYWRIGHTS,,"His most famous play was first produced in 1895, the year he was sent to jail, & he never wrote another","Oscar Wilde (\""The Importance of Being Earnest\"")"
6/27/00,Final Jeopardy!,ODD JOBS,,"Among men in this occupation, King Henry VIII's was Will Somers & King Arthur's was Dagonet",Court jester
2/16/98,Final Jeopardy!,POPULAR FICTION,,"In 1996 Raymond Benson took over a book series from John Gardner, who had taken over from this 1st author",Ian Fleming
1/25/99,Final Jeopardy!,CRIME WRITERS,,1 of the 2 female crime writers who were in the British House of Lords in 1998,P.D. James or Ruth Rendell
7/5/88,Final Jeopardy!,CIVIL WAR,,1 of 2 states represented in the 13 stars on the Confederate flag even though they stayed in the Union,(1 of) Missouri & Kentucky
12/7/07,Final Jeopardy!,MOTOWN SINGERS,,"He added an ""E"" to his last name to avoid being teased",Marvin Gaye
4/27/06,Final Jeopardy!,WOMEN IN HISTORY,,"In an 1863 essay Harriet Beecher Stowe called this woman whom she had met with ""The Libyan Sibyl""",Sojourner Truth
10/11/06,Final Jeopardy!,CHARACTERS IN SHAKESPEARE,,"In Act I he says, ""The funeral baked meats did coldly furnish forth the marriage tables""",Hamlet
2/25/10,Final Jeopardy!,SCIENTIFIC MNEMONICS,,"""Kings play chess on finely grained sand"" is a mnemonic device used to help remember a system devised by this scientist",Carolus Linnaeus
5/12/03,Final Jeopardy!,MOVIE INDUSTRY HISTORY,,The company that produced most of Marion Davies' films was named for this magazine; the same person owned both,Cosmopolitan
9/24/99,Final Jeopardy!,OLYMPICS 2000,,Name of the new Olympic event that will cover a total of 51.5 kilometers,Triathlon
12/12/84,Final Jeopardy!,FLAGS,,Country whose flag includes pictures of the British & Dutch flags,South Africa
11/23/98,Final Jeopardy!,FAMOUS NAMES,,"In a 15-minute-long ceremony, his New York townhouse was designated a ""Cultural Landmark"" in 1998",Andy Warhol
10/22/98,Final Jeopardy!,THE 17th CENTURY,,The 1648 Peace of Westphalia ended a war that began on May 23 of this year,1618 (when The Thirty Years' War began)
1/18/05,Final Jeopardy!,BRANDS,,"This brand's airtight seal, introduced in 1946, was patterned after the inverted rim of a paint can",Tupperware
1/17/08,Final Jeopardy!,THE SUPREME COURT,,"Britannica said the court's ruling in his case ""seemed a mortal blow to the newly created Republican Party""",Dred Scott
9/25/98,Final Jeopardy!,PEOPLE IN POLITICS,,"A former gov. & presidential candidate & now mayor-elect, in 1998 he quit the ""corrupted"" Democratic party",Jerry Brown
12/31/93,Final Jeopardy!,POLITICIANS,,"Elected to the House of Representatives in 1966, he was the first Republican to represent Houston",George Bush
4/28/04,Final Jeopardy!,'80s FILMS,,"The first film rated PG-13, its colorful title was used as the code name for a 2003 capture mission in Iraq",Red Dawn
10/21/03,Final Jeopardy!,IN THE MEDICINE CABINET,,"This product's website features chemistry experiments like ""The Effect of Temperature on Rate of Reaction""",Alka-Seltzer
1/27/99,Final Jeopardy!,VITAMINS & MINERALS,,The Centers for Disease Control & Prevention says it's the nutrient Americans are most likely to be deficient in,Iron (Iron-deficient anemia)
12/21/99,Final Jeopardy!,1999 TELEVISION,,"The final episode of this sitcom was called ""The Final Frontier""",Mad About You
